Term,Description,Translation (ru)
Blinded,"Condition: can't see, auto-fail sight checks",Ослеплённый
Deafened,"Condition: can't hear, auto-fail hearing checks",Оглушённый
Invisible,"Condition: can't be seen, advantage on attacks",Невидимый
Prone,"Condition: on the ground, disadvantage on attacks",Лежащий Ничком
Restrained,"Condition: speed 0, disadvantage on Dex saves",Опутанный
Incapacitated,Condition: can't take actions or reactions,Недееспособный
Petrified,Condition: turned to stone,Окаменевший
Grappled,Condition: speed becomes 0,Схваченный
Exhaustion,Condition: cumulative fatigue levels,Истощение
Unconscious,"Condition: incapacitated, prone, unaware",Без Сознания
Abjuration,School of magic: protection,Ограждение
Conjuration,School of magic: summoning,Вызов
Divination,School of magic: knowledge,Прорицание
Enchantment,School of magic: mind control,Очарование
Evocation,School of magic: energy/damage,Воплощение
Illusion,School of magic: deception,Иллюзия
Necromancy,School of magic: death/undead,Некромантия
Transmutation,School of magic: transformation,Преобразование
Bludgeoning,Damage type,Дробящий
Piercing,Damage type,Колющий
Slashing,Damage type,Рубящий
Fire,Damage type,Огонь
Cold,Damage type,Холод
Lightning,Damage type,Молния
Thunder,Damage type,Гром
Acid,Damage type,Кислота
Poison,Damage type,Яд
Necrotic,Damage type,Некротический
Radiant,Damage type,Излучение
Force,Damage type,Силовое поле
Psychic,Damage type,Психический
Barbarian,Character class,Варвар
Bard,Character class,Бард
Cleric,Character class,Жрец
Druid,Character class,Друид
Fighter,Character class,Воин
Monk,Character class,Монах
Paladin,Character class,Паладин
Ranger,Character class,Следопыт
Rogue,Character class,Плут
Sorcerer,Character class,Чародей
Warlock,Character class,Колдун
Wizard,Character class,Волшебник
Artificer,Character class,Изобретатель
Darkvision,Sense: see in darkness,Тёмное Зрение
Blindsight,Sense: perceive without sight,Слепое Зрение
Tremorsense,Sense: detect vibrations,Чувство Вибрации
Truesight,Sense: see through illusions,Истинное Зрение
Opportunity Attack,Attack when creature leaves reach,Провоцированная Атака
Grapple,Special melee attack: grab,Захват
Shove,Special melee attack: push,Толчок
Dash,Action: double movement,Рывок
Disengage,Action: avoid opportunity attacks,Отход
Dodge,Action: impose disadvantage on attacks,Уклонение
Help,Action: give advantage to ally,Помощь
Hide,Action: attempt stealth,Засада
Ready,Action: prepare a reaction,Подготовка
Search,Action: look for something,Поиск
Use an Object,Action: interact with object,Использование Предмета
Acrobatics,Skill (Dex),Акробатика
Animal Handling,Skill (Wis),Уход за Животными
Arcana,Skill (Int),Магия
Athletics,Skill (Str),Атлетика
Deception,Skill (Cha),Обман
History,Skill (Int),История
Insight,Skill (Wis),Проницательность
Intimidation,Skill (Cha),Запугивание
Investigation,Skill (Int),Расследование
Medicine,Skill (Wis),Медицина
Nature,Skill (Int),Природа
Perception,Skill (Wis),Внимательность
Performance,Skill (Cha),Выступление
Persuasion,Skill (Cha),Убеждение
Religion,Skill (Int),Религия
Sleight of Hand,Skill (Dex),Ловкость Рук
Stealth,Skill (Dex),Скрытность
Survival,Skill (Wis),Выживание
